Địa chỉ,Tên Nhà,Số tầng,Diện tích (m2),Giá,Hướng
"Q. Hoàng Mai, TP. Hà Nội","Nhà mặt ngõ cách Thanh Lân 80m, diện tích 30m² x 4 tầng, mặt tiền 6.8m",4 tầng,30m²,4.5 tỷ,Đông
"Q. Hoàng Mai, TP. Hà Nội","Nhà mặt ngõ cách Đường Lĩnh Nam 15m, diện tích 33m² x 5 tầng, mặt tiền 5.2m",5 tầng,33m²,6.5 tỷ,Đông Nam
"Q. Hoàng Mai, TP. Hà Nội","Nhà mặt phố Trương Định, diện tích 96.4m² x 5 tầng, mặt tiền 5.42m",5 tầng,96.4m²,38 tỷ,Đông Nam
"Q. Hoàng Mai, TP. Hà Nội","Nhà mặt ngõ cách Giải Phóng (phía đối diện đường tàu) 70m, diện tích 30m² x 5 tầng, mặt tiền 3.39m",5 tầng,30m²,5.6 tỷ,Bắc
"Q. Hoàng Mai, TP. Hà Nội","Nhà mặt ngõ cách Đường Kim Giang 70m, diện tích 26.5m² x 4 tầng, mặt tiền 3.6m",4 tầng,26.5m²,5.25 tỷ,Đông Nam
"Q. Hoàng Mai, TP. Hà Nội","Nhà mặt ngõ cách Giải Phóng (phía đối diện đường tàu) 15m, diện tích 75.4m² x 4 tầng, mặt tiền 4.1m",4 tầng,75.4m²,13.5 tỷ,Đông Nam
"Q. Hoàng Mai, TP. Hà Nội","Nhà mặt ngõ cách Hoàng Mai 100m, diện tích 33.3m² x 4 tầng, mặt tiền 6m",4 tầng,33.3m²,4.95 tỷ,Đông
"Q. Hoàng Mai, TP. Hà Nội","Nhà mặt ngõ cách Giáp Bát 5m, diện tích 54.2m² x 4 tầng, mặt tiền 3.37m",4 tầng,54.2m²,12.8 tỷ,Đông Bắc
"Q. Hoàng Mai, TP. Hà Nội","Nhà mặt ngõ cách Đường Lĩnh Nam 20m, diện tích 88.4m² x 5 tầng, mặt tiền 5.43m",5 tầng,88.4m²,26.5 tỷ,Tây Nam
"Q. Hoàng Mai, TP. Hà Nội","Nhà mặt ngõ cách Tân Mai 100m, diện tích 82m² x 2 tầng, mặt tiền 5.5m",2 tầng,82m²,7.6 tỷ,Đông Bắc
